iter	Passed	Remaining
685	847	387
686	848	386
687	849	385
688	852	384
689	853	383
690	854	381
691	854	380
692	855	379
693	858	378
694	860	377
695	862	376
696	863	375
697	864	374
698	865	372
699	866	371
700	867	370
701	868	368
702	869	367
703	870	365
704	872	365
705	874	364
706	876	363
707	879	362
708	880	361
709	881	360
710	882	358
711	883	357
712	884	356
713	887	355
714	889	354
715	891	353
716	892	352
717	893	351
718	894	349
719	895	348
720	896	346
721	897	345
722	898	344
723	898	342
724	901	341
725	903	341
726	906	340
727	906	338
728	909	337
729	910	336
730	911	335
731	911	333
732	912	332
733	913	331
734	916	330
735	918	329
736	919	328
737	921	326
738	922	325
739	922	324
740	924	323
741	925	321
742	925	320
743	926	318
744	927	317
745	927	315
746	928	314
747	930	313
748	931	312
749	932	310
750	935	310
751	935	308
752	936	307
753	937	305
754	937	304
755	938	302
756	938	301
757	939	299
758	940	298
759	940	297
760	941	295
761	941	294
762	942	292
763	945	291
764	946	290
765	948	289
766	949	288
767	950	287
768	951	285
769	952	284
770	953	283
771	953	281
772	954	280
773	955	279
774	958	278
775	964	278
776	965	277
777	966	275
778	967	274
779	968	273
780	969	271
781	970	270
782	971	269
783	973	268
784	975	267
785	976	265
786	978	264
787	979	263
788	980	262
789	981	260
790	982	259
791	983	258
792	984	257
793	985	255
794	987	254
795	988	253
796	989	252
797	991	250
798	992	249
799	993	248
800	993	246
801	994	245
802	995	244
803	996	242
804	997	241
805	998	240
806	999	238
807	999	237
808	1002	236
809	1004	235
810	1006	234
811	1007	233
812	1009	232
813	1011	231
814	1012	229
815	1013	228
816	1014	227
817	1015	226
818	1017	224
819	1019	223
820	1021	222
821	1022	221
822	1023	220
823	1024	218
824	1025	217
825	1027	216
826	1028	215
827	1028	213
828	1029	212
829	1031	211
830	1033	210
831	1034	208
832	1035	207
833	1037	206
834	1038	205
835	1039	203
836	1039	202
837	1040	201
838	1041	199
839	1042	198
840	1042	197
841	1043	195
842	1044	194
843	1046	193
844	1048	192
845	1049	190
846	1050	189
847	1051	188
848	1052	187
849	1053	185
850	1055	184
851	1056	183
852	1057	182
853	1057	180
854	1058	179
855	1059	178
856	1060	177
857	1061	175
858	1062	174
859	1063	173
860	1064	171
861	1065	170
862	1065	169
863	1066	167
864	1067	166
865	1068	165
866	1069	164
867	1070	162
868	1071	161
869	1071	160
870	1072	158
871	1073	157
872	1074	156
873	1079	155
874	1080	154
875	1080	153
876	1081	151
877	1083	150
878	1085	149
879	1086	148
880	1087	146
881	1088	145
882	1090	144
883	1091	143
884	1092	141
885	1093	140
886	1094	139
887	1094	138
888	1096	136
889	1097	135
890	1097	134
891	1098	133
892	1099	131
893	1100	130
894	1100	129
895	1101	127
896	1102	126
897	1103	125
898	1105	124
899	1107	123
900	1108	121
901	1109	120
902	1110	119
903	1111	117
904	1111	116
905	1112	115
906	1113	114
907	1114	112
908	1114	111
909	1115	110
910	1116	109
911	1117	107
912	1117	106
913	1119	105
914	1120	104
915	1122	102
916	1123	101
917	1124	100
918	1125	99
919	1125	97
920	1126	96
921	1127	95
922	1128	94
923	1129	92
924	1129	91
925	1130	90
926	1131	89
927	1132	87
928	1134	86
929	1135	85
930	1136	84
931	1137	83
932	1138	81
933	1139	80
934	1140	79
935	1141	78
936	1141	76
937	1142	75
938	1143	74
939	1144	73
940	1145	71
941	1145	70
942	1146	69
943	1148	68
944	1150	66
945	1151	65
946	1152	64
947	1153	63
948	1154	62
949	1154	60
950	1155	59
951	1156	58
952	1157	57
953	1158	55
954	1158	54
955	1159	53
956	1160	52
957	1161	50
958	1161	49
959	1165	48
960	1166	47
961	1167	46
962	1168	44
963	1169	43
964	1169	42
965	1170	41
966	1171	39
967	1172	38
968	1173	37
969	1174	36
970	1175	35
971	1176	33
972	1176	32
973	1178	31
974	1179	30
975	1180	29
976	1181	27
977	1181	26
978	1182	25
979	1183	24
980	1184	22
981	1185	21
982	1185	20
983	1186	19
984	1187	18
985	1187	16
986	1188	15
987	1189	14
988	1190	13
989	1194	12
990	1195	10
991	1196	9
992	1197	8
993	1197	7
994	1198	6
995	1199	4
996	1200	3
997	1201	2
998	1201	1
999	1202	0
